Human wins,5,Alien wins,0,Draws,5
Human wins,3,Alien wins,1,Draws,6
Human wins,3,Alien wins,1,Draws,6
Human wins,2,Alien wins,0,Draws,8
Human wins,4,Alien wins,1,Draws,5
Human wins,2,Alien wins,1,Draws,7
Human wins,0,Alien wins,1,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,0,Alien wins,1,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,2,Draws,7
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,1,Draws,9
Human wins,2,Alien wins,1,Draws,7
Human wins,1,Alien wins,1,Draws,8
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,3,Draws,7
Human wins,0,Alien wins,3,Draws,7
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,2,Draws,8
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,1,Draws,8
Human wins,6,Alien wins,2,Draws,2
Human wins,4,Alien wins,0,Draws,6
Human wins,4,Alien wins,0,Draws,6
Human wins,2,Alien wins,0,Draws,8
Human wins,0,Alien wins,4,Draws,6
Human wins,5,Alien wins,2,Draws,3
Human wins,5,Alien wins,0,Draws,5
Human wins,3,Alien wins,1,Draws,6
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,5,Draws,4
Human wins,3,Alien wins,0,Draws,7
Human wins,2,Alien wins,3,Draws,5
Human wins,5,Alien wins,1,Draws,4
Human wins,1,Alien wins,2,Draws,7
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,3,Draws,7
Human wins,1,Alien wins,1,Draws,8
Human wins,1,Alien wins,0,Draws,9
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,1,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,2,Alien wins,0,Draws,8
Human wins,2,Alien wins,0,Draws,8
Human wins,0,Alien wins,0,Draws,10
Human wins,1,Alien wins,1,Draws,8
Human wins,2,Alien wins,0,Draws,8
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,3,Draws,7
Human wins,0,Alien wins,0,Draws,10
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,3,Draws,7
Human wins,1,Alien wins,4,Draws,5
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,5,Draws,5
Human wins,0,Alien wins,6,Draws,4
Human wins,0,Alien wins,2,Draws,8
Human wins,4,Alien wins,1,Draws,5
Human wins,2,Alien wins,3,Draws,5
Human wins,3,Alien wins,1,Draws,6
Human wins,5,Alien wins,2,Draws,3
Human wins,3,Alien wins,3,Draws,4
Human wins,1,Alien wins,3,Draws,6
Human wins,2,Alien wins,2,Draws,6
Human wins,2,Alien wins,2,Draws,6
Human wins,2,Alien wins,2,Draws,6
Human wins,5,Alien wins,1,Draws,4
Human wins,3,Alien wins,0,Draws,7
Human wins,4,Alien wins,0,Draws,6
Human wins,3,Alien wins,0,Draws,7
Human wins,4,Alien wins,1,Draws,5
Human wins,3,Alien wins,0,Draws,7
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,2,Draws,8
Human wins,1,Alien wins,1,Draws,8
Human wins,1,Alien wins,2,Draws,7
Human wins,1,Alien wins,0,Draws,9
Human wins,0,Alien wins,0,Draws,10
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,1,Draws,9
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,6,Draws,4
Human wins,0,Alien wins,6,Draws,4
Human wins,0,Alien wins,3,Draws,7
Human wins,0,Alien wins,5,Draws,5
Human wins,0,Alien wins,3,Draws,7
Human wins,2,Alien wins,0,Draws,8
Human wins,4,Alien wins,0,Draws,6
Human wins,3,Alien wins,0,Draws,7
Human wins,3,Alien wins,0,Draws,7
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,0,Alien wins,5,Draws,5
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,2,Draws,8
Human wins,0,Alien wins,3,Draws,7
Human wins,0,Alien wins,4,Draws,6
Human wins,4,Alien wins,0,Draws,6
Human wins,3,Alien wins,0,Draws,7
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,6,Draws,3
Human wins,2,Alien wins,7,Draws,1
Human wins,2,Alien wins,4,Draws,4
Human wins,1,Alien wins,4,Draws,5
Human wins,4,Alien wins,4,Draws,2
Human wins,3,Alien wins,1,Draws,6
Human wins,0,Alien wins,1,Draws,9
Human wins,1,Alien wins,1,Draws,8
Human wins,2,Alien wins,0,Draws,8
Human wins,0,Alien wins,6,Draws,4
Human wins,1,Alien wins,7,Draws,2
Human wins,1,Alien wins,3,Draws,6
Human wins,2,Alien wins,5,Draws,3
Human wins,1,Alien wins,6,Draws,3
Human wins,3,Alien wins,1,Draws,6
Human wins,1,Alien wins,1,Draws,8
Human wins,1,Alien wins,4,Draws,5
Human wins,1,Alien wins,1,Draws,8
Human wins,4,Alien wins,6,Draws,0
Human wins,3,Alien wins,7,Draws,0
Human wins,5,Alien wins,3,Draws,2
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,1,Alien wins,0,Draws,9
Human wins,2,Alien wins,0,Draws,8
Human wins,3,Alien wins,0,Draws,7
Human wins,3,Alien wins,0,Draws,7
Human wins,0,Alien wins,5,Draws,5
Human wins,0,Alien wins,5,Draws,5
Human wins,2,Alien wins,6,Draws,2
Human wins,0,Alien wins,8,Draws,2
Human wins,0,Alien wins,7,Draws,3
Human wins,0,Alien wins,4,Draws,6
Human wins,0,Alien wins,5,Draws,5
